symbol,expiry,entry_date,exit_date,direction,entry_premium_pct,exit_premium_pct,pnl_pct,pnl_rupees,spot,lot_size,days_held,month
PNB,2023-07-27,2023-07-24,2023-07-27,BUY,-49.211,-48.925,0.286,5600.0,122.37,16000,3,2023-07
PNB,2023-08-31,2023-08-28,2023-08-31,BUY,-48.885,-48.599,0.286,5600.0,122.37,16000,3,2023-08
PNB,2023-09-28,2023-09-25,2023-09-28,BUY,-34.461,-34.992,-0.531,-10400.0,122.37,16000,3,2023-09
PNB,2023-10-26,2023-10-23,2023-10-26,BUY,-43.123,-43.042,0.082,1600.0,122.37,16000,3,2023-10
PNB,2023-11-30,2023-11-24,2023-11-30,BUY,-37.975,-36.627,1.348,13200.0,122.37,8000,6,2023-11
PNB,2024-01-25,2024-01-20,2024-01-25,BUY,-14.317,-14.644,-0.327,-3200.0,122.37,8000,5,2024-01
PNB,2024-02-29,2024-02-26,2024-02-29,SELL,1.986,-0.588,2.574,25200.0,122.37,8000,3,2024-02
PNB,2024-04-25,2024-04-22,2024-04-25,SELL,8.85,11.179,-2.329,-22800.0,122.37,8000,3,2024-04
PNB,2024-05-30,2024-05-27,2024-05-30,SELL,6.194,4.233,1.961,19200.0,122.37,8000,3,2024-05
PNB,2024-06-27,2024-06-24,2024-06-27,SELL,2.517,-2.713,5.23,51200.0,122.37,8000,3,2024-06
PNB,2024-07-25,2024-07-22,2024-07-25,BUY,-3.301,-4.094,-0.793,-7760.0,122.37,8000,3,2024-07
PNB,2024-08-29,2024-08-26,2024-08-29,BUY,-5.083,-5.63,-0.548,-5360.0,122.37,8000,3,2024-08
PNB,2024-09-26,2024-09-23,2024-09-26,BUY,-8.564,-12.315,-3.751,-36720.0,122.37,8000,3,2024-09
POLYCAB,2023-02-23,2023-02-20,2023-02-23,BUY,-60.021,-59.329,0.691,15600.0,7521.0,300,3,2023-02
POLYCAB,2023-03-29,2023-03-24,2023-03-29,BUY,-62.462,-62.001,0.461,10395.0,7521.0,300,5,2023-03
POLYCAB,2023-04-27,2023-04-24,2023-04-27,BUY,-58.222,-57.673,0.549,12390.0,7521.0,300,3,2023-04
POLYCAB,2023-05-25,2023-05-22,2023-05-25,BUY,-54.411,-54.523,-0.112,-2520.0,7521.0,300,3,2023-05
POLYCAB,2023-06-29,2023-06-26,2023-06-27,BUY,-53.902,-53.76,0.142,3210.0,7521.0,300,1,2023-06
POLYCAB,2023-07-27,2023-07-24,2023-07-27,BUY,-37.676,-37.387,0.289,6510.0,7521.0,300,3,2023-07
POLYCAB,2023-08-31,2023-08-28,2023-08-31,BUY,-32.069,-31.802,0.267,6030.0,7521.0,300,3,2023-08
POLYCAB,2023-09-28,2023-09-25,2023-09-28,BUY,-30.504,-29.604,0.899,20295.0,7521.0,300,3,2023-09
POLYCAB,2023-10-26,2023-10-23,2023-10-26,BUY,-31.459,-35.216,-3.757,-84780.0,7521.0,300,3,2023-10
POLYCAB,2023-11-30,2023-11-24,2023-11-30,BUY,-29.922,-30.05,-0.128,-965.0,7521.0,100,6,2023-11
POLYCAB,2024-01-25,2024-01-20,2024-01-25,BUY,-42.403,-42.255,0.148,1115.0,7521.0,100,5,2024-01
POWERGRID,2024-02-29,2024-02-26,2024-02-29,SELL,3.548,1.819,1.729,17280.0,277.6,3600,3,2024-02
POWERGRID,2024-04-25,2024-04-22,2024-04-25,SELL,2.125,5.403,-3.278,-32760.0,277.6,3600,3,2024-04
POWERGRID,2024-05-30,2024-05-27,2024-05-30,SELL,14.841,10.393,4.449,44460.0,277.6,3600,3,2024-05
POWERGRID,2024-06-27,2024-06-24,2024-06-27,SELL,20.119,19.362,0.756,7560.0,277.6,3600,3,2024-06
POWERGRID,2024-07-25,2024-07-22,2024-07-25,SELL,21.866,21.866,0.0,0.0,277.6,3600,3,2024-07
POWERGRID,2024-08-29,2024-08-26,2024-08-29,SELL,21.938,19.993,1.945,19440.0,277.6,3600,3,2024-08
POWERGRID,2024-09-26,2024-09-23,2024-09-26,SELL,23.091,31.484,-8.393,-83880.0,277.6,3600,3,2024-09
RBLBANK,2023-02-23,2023-02-20,2023-02-23,BUY,-49.24,-50.84,-1.6,-25000.0,312.45,5000,3,2023-02
