date,capital
2024-03-28,1231170.3623192366
2024-03-28,1228471.717870247
2024-03-28,1228618.610393424
2024-03-28,1228899.8125243161
2024-03-28,1228709.5970444889
2024-04-25,1231559.683536955
2024-04-25,1232904.0117663553
2024-04-25,1235654.3911866683
2024-04-25,1236311.5675689813
2024-04-25,1237273.8227109856
2024-04-25,1236269.9749020988
2024-04-25,1236795.0710221936
2024-04-25,1241933.0370842516
2024-04-25,1239457.6977539228
2024-04-25,1243874.7866870293
2024-04-25,1233224.3143788476
2024-04-25,1236074.0170953507
2024-04-25,1235364.9323305306
2024-04-25,1222184.6091630857
2024-04-25,1222120.9527617774
2024-04-25,1221098.0207769617
2024-04-25,1222598.43876646
2024-04-25,1222925.7972688333
2024-04-25,1223255.9347617838
2024-04-25,1225178.0690315552
2024-04-25,1225267.945528753
2024-04-25,1226955.0511346115
2024-04-25,1222517.7132874664
2024-04-25,1219577.9589926824
2024-04-25,1218943.6472870682
2024-04-25,1220968.0969127011
2024-04-25,1223655.12678651
2024-04-25,1223605.7561589705
2024-04-25,1217870.0183149527
2024-04-25,1219257.4746322634
2024-04-25,1209065.538814665
2024-04-25,1210949.4103286916
2024-04-25,1209766.158596925
2024-04-25,1214388.0456796247
2024-04-25,1214985.8057859358
2024-04-25,1212249.5511926906
2024-04-25,1215900.938494426
2024-04-25,1215100.850855836
2024-04-25,1215040.2375234033
2024-04-25,1199716.5253249686
2024-04-25,1202732.5831887312
2024-04-25,1205329.1904219624
2024-04-25,1205544.9362590439
2024-04-25,1208269.657173803
2024-04-25,1209110.8140618897
2024-04-25,1206237.0041423247
2024-04-25,1202821.4051569435
2024-04-25,1201272.8552987112
2024-04-25,1199094.4581801272
2024-04-25,1197045.7985561902
2024-04-25,1198377.0401911472
2024-04-25,1199853.0563083738
2024-04-25,1193255.1740088842
2024-04-25,1193615.8169748476
2024-04-25,1191221.8949564332
2024-04-25,1191616.0037570933
2024-04-25,1193187.7156468427
2024-04-25,1190086.536538005
2024-04-25,1189380.261288034
2024-04-25,1188647.3575500783
2024-04-25,1189670.1746148237
2024-04-25,1190447.7655725677
2024-04-25,1190996.190153172
2024-04-25,1192201.0084722075
2024-04-25,1190426.4984531577
2024-04-25,1190524.3049112912
2024-04-25,1183480.7879999143
2024-04-25,1184221.3427419877
2024-04-25,1185122.2053564228
2024-04-25,1184961.3699030033
2024-04-25,1192061.5088109493
2024-04-25,1194395.4728627165
2024-04-25,1196355.4953614385
